Job,Salary,Company,Location
ANALISTA DE BASE DE DATOS SQL,"$23,000 - $24,000  Mensual","XAALSA Empresarial, S.A. de C.V.",Ciudad de México
Analista de Bases de Datos ISS,,"Ferrocarril Mexicano, S.A. de C.V.",Ciudad de México
Analista de Bases de Datos Jr.,"$16,000  Mensual",,Ciudad de México
ANALISTA DE BASE DE DATOS BILINGÜE,"$25,000 - $30,000  Mensual",ISS Facility Services Mexico,Querétaro
Analista de Base de Datos y Modelos,"$25,000  Mensual","Manpower, S.A. de C.V.",Ciudad de México
Analista de base de datos / SQL,,Grupo Salinas,CDMX
Analista de Datos Bilingüe $18000 mas PL,"$18,000  Mensual","Atento Servicios, S. A. de C.V.",CDMX
Analista de datos contables y financieros- Proyecto Temporal,"$23,000 - $26,000  Mensual",Médica Sur,CDMX
PAE Vhsa Analista de Bases de Datos,"$17,000 - $20,000  Mensual",PAE DESARROLLADOR EMPRESARIAL DE L...,Ciudad de México
Analista de bases de datos - SQL Server,"$17,000  Mensual",CREDIFIEL,CDMX
Analista de base de datos Contact Center,"$15,000 - $18,000  Mensual",DIMEX CAPITAL,N.L.
Analista de base de datos Contact Center,"$15,000 - $18,000  Mensual",,N.L.
Analista de Datos Jr –Bilingüe Portugués (6 meses),"$15,000 - $16,000  Mensual","Bimbo, S.A. de C.V.",CDMX
Analista de datos RH (Power BI)/ Posición Temporal,"$18,000 - $21,000  Mensual",,CDMX
"Analista de Datos y Soporte IT - Lomas Verdes, Naucalpan","$19,200  Mensual",Kelly Services,Edo. Méx.​
Big Data Analytics Analista de Datos - SQL y POWER BI,"$17,600 - $19,000  Mensual",Grupo Salinas,CDMX
ANALISTA DE BASE DE DATOS COMERCIAL (CANAL DETALLE),,"Grupo Lala, S.A.",Ciudad de México
Analista Senior Base de datos - Power BI,,AON RISK SOLUTIONS AGENTE DE SEGUR...,CDMX
Analista de Bases de Datos SQL – Conocimiento en Desarrollo,,Softtek,Jal.
Analista de Bases de Datos SQL – Conocimiento en Desarrollo,,Softtek,Ciudad de México
Analista de base de datos Sr /Leader Business Intelligence,"$30,000  Mensual",,Ciudad de México
Analista / Desarrollador Base de Datos SQL-SqlServer- Oracle,,Branchbit,CDMX
Analista en sistemas/Bases de datos,"$16,000  Mensual",PAE DESARROLLADOR EMPRESARIAL DE L...,Ciudad de México
Analista de información (minería de datos),"$20,000 - $21,000  Mensual",Servicios Corporativos Contigo,Ciudad de México
Analista Jr en Bases de Datos,"$11,900  Mensual",Adecco,CDMX
Analista Intermedio de Administración de Datos/Información,,Banamex,Ciudad de México
Analista de inteligencia . ciencia de datos 	963519,,"Manpower, S.A. de C.V.",Querétaro
Analista Senior de Ingeniería de Datos (Senior Data Analyst),,Banamex,Ciudad de México
Analista Junior de Ingeniería de Datos (Junior Data Analyst),,Banamex,Ciudad de México
Analista de Desempeño Comercial,,INTERCAM BANCO SA INSTITUCION DE B...,CDMX
GERENTE BUSINESS INTELLIGENCE (TABLEAU),,Grupo Salinas,Ciudad de México
Consultor business Objects sap hana power bi TI,"$50,000 - $60,000  Mensual",Corporativo Laboral y Administrati...,Ciudad de México
Analista de la información BI Jr,"$12,000 - $15,000  Mensual",INTERCAM BANCO SA INSTITUCION DE B...,CDMX
ANALISTA DE COSTOS,"$15,000 - $19,000  Mensual","Laboratorios Russek, S. de R.L. de...",Edo. Méx.​
Analista business intelligence,"$25,000 - $28,000  Mensual",Walmart México,Ciudad de México
Analista data web,,Grupo Zorro Abarrotero,Edo. Méx.​
Analista TI,"$12,000 - $14,000  Mensual",EXHIBIDORA MEXICANA CINEPOLIS SA D...,Mich.
Analista de Sistemas Sr / SQL / SAP,"$35,000  Mensual",Administración Integral Firpo Izca...,Ciudad de México
Analista de Indicadores / San Angel,,Banamex,Ciudad de México
Analista Senior en Business Analytics C11,,Banamex,Ciudad de México
ANALISTA DE DATA ANALYTICS,,"Grupo Aeroportuario del Pacífico, ...",Jal.
Analista de Sistemas,"$17,000 - $17,100  Mensual",Femsa,Edo. Méx.​
Analista de Negocio Sr.- Privalia,,Grupo AXO,Edo. Méx.​
Consultor BO,"$50,000 - $60,000  Mensual",,CDMX
Analista de Costos,,Page Personnel,México
Analista de información MIS,"$18,000  Mensual",Grupo Salinas,CDMX
Analista de riesgo,"$18,000  Mensual","SERVICIOS ESPECIALIZADOS SIMEX, S....",CDMX
Analista de mesa de control,"$7,840 - $7,841  Mensual",Grupo Salinas,CDMX
Analista Jr TI,"$11,000 - $13,000  Mensual","Comercio Decmar, S.C",Edo. Méx.​
Analista planeación financiera,,"Herramental Monterrey, S.A.",N.L.
Analista Administrativo (Actuario),"$7,000 - $8,000  Mensual",Badak Soluciones SA de CV,CDMX
Analista de Mercados,"$12,000 - $15,000  Mensual",POLIFORMAS PLASTICAS SA DE CV,CDMX
ANALISTA COBRANZA - MX,,Pegaso PCS,Ciudad de México
Analista fiscal,"$17,000 - $19,000  Mensual",Desarrollos Planeados MMV S.A de C.V,N.L.
Analista de Conciliación Financiera,,WUHAN FIBERHOME INTERNATIONAL DE M...,CDMX
Analista seguros//Temporal,"$7,000 - $8,500  Mensual",Prestadora de Servicios Profesiona...,Gto.
Analista de Arrendamiento,,"Farmacias de Similares, S.A. de C....",CDMX
"Analista desarrollador java JR, Semi, Senior",,IRIUM MEXICO S.DR.L.DE C.V.,CDMX
Data analyst,"$28,000  Mensual",Kimberly-Clark de México,Ciudad de México
Data analyst,"$24,000 - $25,000  Mensual",Grupo American Industries,Chihuahua
Data Analyst,,Pepsico División Foods,México
Data analyst,,,Q. Roo
Data analyst,,,Ciudad de México
Data analyst,,BBVA Bancomer,CDMX
Data analyst,,BBVA Bancomer,CDMX
Data analyst,,HERBALIFE INTERNACIONAL DE MEXICO ...,Jal.
Data analyst,"$22,000 - $24,000  Mensual",,Ciudad de México
Data analyst,"$50,000 - $60,000  Mensual",Adecco,CDMX
Data analyst,"$25,000 - $32,000  Mensual",WIGGOT EVOLUCION INMOBILIARIA SAPI...,Jal.
Data Analyst,"$40,000 - $50,000  Mensual",,Querétaro
Data analyst,"$35,000  Mensual",,Ciudad de México
Data analyst,"$30,000 - $32,500  Mensual",InterWare,CDMX
Data analyst,"$20,000 - $22,000  Mensual",Thales Security Solutions Services,Mor.
Master data analyst,"$15,130 - $16,910  Mensual",Sandvik Mining and Construction de...,Jal.
OTC Data Analyst,,Johnson Controls,N.L.
OTC Data Analyst,,Johnson Controls,N.L.
Data Analyst Specialist,,,Qro.
Data analyst trainee,"$8,000 - $8,500  Mensual",Pocket de Latinoamerica SAPI de CV,Ciudad de México
Coordinación Data Analyst,"$25,000 - $30,000  Mensual",online ventures s a p i de CV,Ciudad de México
Data Analyst Jr,"$28,000 - $33,000  Mensual",AXA,CDMX
